number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
2,120.042,83.9545,95.92106723,67.76026657,0.49953623,0.682631251,144.35,12.154,72.175,62.50538352,762.95,710.375,755.6693589,705.0385126,0.683619666,0.615458951,210.3,276.325,105.15,91.06257121,178.0,177.0,177.9887637,176.9915885,0.693084056,0.566942581,4,87.0,2.0,1.732050808,13533.5,9020.25,10083.54699,6741.405366,0.450313368,0.661430365,18053.0,2259.75,9026.5,7817.178307,80.8,44.95,37.25251669,18.41189566,0.216696559,0.425879561,143.4,31.3,71.7,62.09402145,22.35,20.525,22.04994331,20.30600748,0.679752028,0.624346919,7.3,7.525,3.65,3.160992724,86.0,54.0,57.44562647,35.55001803,0.3823885,0.615498282,128.0,21.0,64.0,55.42562584,5.0,4.5,4.898979486,4.426727679,0.673011667,0.636514168,2,1.5,1.0,0.866025404,5.4
3,82.245,64.12710526,71.48302614,54.80590817,0.984478171,0.943358626,86.645,28.50710526,36.67801271,34.2964809,797.3333333,852.0157895,785.4075181,837.5918996,1.083097068,0.840851968,314.2,469.8789474,142.9194956,155.0511724,140.6666667,132.2368421,133.827989,123.2939945,1.051889265,0.90068989,103,63.55263158,42.16106682,49.06088281,6516.666667,5666.578947,5281.073205,4183.058659,0.93641272,0.781882309,8320.0,3480.789474,3442.637877,3980.65009,127.9,143.6157895,117.1835549,128.8314234,1.012002748,0.715302151,128.1,97.46315789,54.01240598,61.68722262,14.91,15.67368421,7.58255463,6.402294148,0.590800848,0.372108515,34.27,13.65789474,15.06727801,16.47295366,68.735,60.26578947,12.40550614,4.244786829,0.637998099,0.310294193,138.795,54.76052632,56.67610122,65.94817663,5.333333333,5.842105263,5.241482788,5.810979039,1.08219553,0.856277565,2,2.842105263,0.942809042,0.539313198,14.45
3,62.80075643,40.95728249,44.59206336,33.83648701,0.770905349,0.69134206,114.3372307,24.47687751,52.73905797,35.2672563,594.7,750.8605714,580.6262103,743.5903011,1.073825893,0.300901789,290.4,685.8537143,135.2988544,93.48100672,184.6666667,128.2209524,174.7426967,122.718787,1.047056444,0.589477389,142,96.17142857,58.09379389,46.04751934,2269.333333,2461.569524,1993.025238,2433.27515,0.985871172,0.46886388,2542.0,2035.992381,1038.653402,397.1467252,68.28333333,120.5081905,48.39433808,104.0350928,0.821416963,0.096353498,119.65,118.0630476,49.83760851,38.92366252,20.26666667,44.94438095,10.14508486,39.73400143,0.55982965,0.104958198,47.6,43.96990476,21.28055973,13.98693649,102.6666667,134.3542857,72.30426793,116.7281844,0.87473639,0.117648105,132.0,130.6285714,60.00740695,42.58490908,2.333333333,3.746666667,2.0,3.656532514,0.955699891,0.246568267,3,3.499047619,1.247219129,0.677961464,4.0
4,77.4375175,65.14758013,69.47110104,62.37622745,1.276403887,1.116269025,98.82747,32.25184488,37.57196224,20.17328769,708.95,808.41375,691.8188645,793.0056474,1.361618186,1.035150907,405.1,452.80875,159.1134894,151.5688068,164.75,144.5375,161.0521206,140.8535317,1.364921475,1.22918688,81,49.6875,33.25187965,33.3841069,5324.25,5391.85,4552.623249,4710.100251,1.270406159,1.009480072,6324.0,2633.025,2322.91136,2180.416859,37.5175,46.728625,22.6231427,28.02218211,1.045020245,0.556368851,75.63,38.927625,29.37288577,33.84652969,14.085,19.351,11.97538043,17.14429868,1.224592087,0.822556981,21.4,13.61375,8.318694309,8.5895366,85.5,87.7375,56.60992909,71.55393544,1.057631364,1.07337663,187.0,42.0125,70.12310604,60.15578604,3.25,3.7875,3.080070288,3.553253864,1.332244922,0.944771003,3,2.3875,1.089724736,1.261881036,16.2
3,41.93001287,46.33186386,40.36995047,45.70941395,1.063942869,0.706293158,23.9599614,31.76608614,10.64442889,6.55477428,628.3666667,648.354,627.2877202,647.8830946,1.096918704,0.753750242,80.6,415.896,36.31660165,23.89730704,155.0,169.3,152.5680499,168.2273568,1.083606358,0.712427283,58,114.92,26.24245923,17.20494115,4439.0,4614.84,4204.982353,4522.960928,1.047679648,0.755484704,3410.0,2975.04,1392.956807,881.7171057,35.06666667,20.33,27.52816508,14.5843091,0.924308786,1.053085502,43.0,4.978,18.65660443,18.12479241,17.4,18.638,16.58517571,18.32705178,1.05440935,0.732169499,12.1,12.394,5.024606121,3.069520484,96.0,44.92,54.31887237,29.65488344,0.60233849,0.965586796,213.0,17.92,98.35649445,63.45197869,4.0,4.08,3.914867641,4.04585133,1.077556327,0.771190189,2,2.58,0.816496581,0.523067873,3.52
3,95.28832,78.87099,58.66635678,40.79992053,0.787924302,0.793781683,168.93718,48.279014,68.98887797,73.48778855,836.4666667,903.6,818.1425547,884.0919052,1.075998917,0.935329976,422.1,410.13,180.5842432,185.1428638,155.0,133.1,138.4384292,115.5259206,1.005575576,1.067065571,133,26.5,62.23075338,66.10363076,9160.0,7839.0,6857.531844,5371.241202,0.872410103,0.898784051,14390.0,3865.0,5889.48781,6241.763293,91.83333333,104.97,76.1984541,86.65454311,0.939441722,0.742214365,122.9,67.95,50.2629309,53.92129542,55.93333333,68.66,46.61677207,57.95786228,0.916564873,0.695216358,78.2,47.14,34.89807381,36.47947916,83.66666667,97.9,75.53221437,88.3700756,0.992827441,0.787807562,86.0,59.2,39.85250585,42.11282465,4.666666667,4.5,4.641588834,4.472135955,1.093374718,1.060856947,1,1.0,0.471404521,0.5,0.01
4,76.4445625,51.32719106,59.35667247,34.99842853,1.199540745,1.291532671,121.3276,14.32136854,43.82335412,44.21064382,794.0,1002.907247,741.6293489,936.8289482,1.315004308,0.892150406,810.6,658.2040864,311.7434923,342.4677281,164.5,114.692367,139.0005138,89.81495911,1.256700567,1.339596842,205,22.66769468,77.52580216,79.26226075,4235.85725,2959.287597,669.5565878,66.93371437,1.015407123,0.812789834,8958.571,2071.707006,3194.938946,3640.56368,77.2375,109.0921357,53.52796465,86.43960249,1.105182174,0.763998359,127.05,74.19622205,54.83075523,49.47684473,8.1805,5.261938319,4.035568999,1.342483447,1.112098197,1.04265982,12.878,2.910767926,4.948155288,5.64990032,108.756645,96.62183983,7.55238461,1.105767957,0.336261916,0.203142732,399.97342,92.50691884,168.3010468,166.5681398,2.25,2.077101002,2.213363839,2.063511095,1.368922361,1.203034626,1,0.843484965,0.433012702,0.266751641,91.3
3,31.71501287,31.71501287,31.1997876,31.1997876,1.081742169,1.081742169,13.0964614,4.365487133,5.930674388,5.930674388,650.8666667,650.8666667,644.2478828,644.2478828,1.0881231,1.0881231,208.8,69.6,95.68341317,95.68341317,141.0,141.0,136.4590171,136.4590171,1.064717047,1.064717047,83,27.66666667,37.58545818,37.58545818,2193.333333,2193.333333,2136.406027,2136.406027,1.073708303,1.073708303,1150.0,383.3333333,479.3282336,479.3282336,60.99,60.99,28.44065954,28.44065954,0.648224219,0.648224219,131.23,43.74333333,54.90490749,54.90490749,23.14666667,23.14666667,16.61556531,16.61556531,0.780471403,0.780471403,41.66,13.88666667,19.1499092,19.1499092,195.0,195.0,191.7474979,191.7474979,1.082276184,1.082276184,85.0,28.33333333,34.88074923,34.88074923,3.0,3.0,2.884499141,2.884499141,1.060856947,1.060856947,2,0.666666667,0.816496581,0.816496581,7.3
5,87.36932,64.06489333,78.31027533,60.0056692,1.506460608,1.461050173,104.164,18.41781333,39.50295694,25.93820274,731.9,758.0486667,715.4830398,743.5832601,1.587266294,1.310033303,414.7,256.0833333,153.2401383,146.6648041,160.6,155.94,156.7147983,152.3697584,1.585456124,1.354442416,92,49.88666667,35.01770981,32.9314905,5771.6,5373.866667,5049.059885,4487.837655,1.515108124,1.235368316,6324.0,2401.433333,2219.638763,2533.029816,51.354,36.9036,30.97933495,20.19016955,1.295332823,1.091386255,100.83,22.7664,37.57456672,33.82103644,15.368,16.33653333,13.54903174,14.52316092,1.489366885,1.198409306,20.6,7.931333333,7.593213812,7.926562516,74.0,99.04,50.310363,79.09567701,1.251641052,1.042362455,183.0,55.2,66.67233309,65.23821784,3.6,3.386666667,3.39345819,3.175157592,1.553019135,1.31089152,3,1.34,1.2,1.20988521,43.0
2,77.5265,29.87257143,39.48924236,15.65353469,0.252925849,0.619263264,133.431,11.33942857,66.7155,46.6911237,665.85,761.8142857,652.1551196,754.7680491,0.672650754,0.32435307,268.7,609.9571429,134.35,94.02541341,146.5,104.0,133.8730742,98.40055178,0.608239172,0.595733779,119,45.14285714,59.5,41.64132563,4735.0,3110.0,4152.661797,2856.959569,0.572813785,0.628369872,4550.0,1107.142857,2275.0,1592.168333,39.85,31.52857143,38.10905404,30.73367923,0.649783477,0.543290748,23.3,16.81428571,11.65,8.153301572,28.55,43.87142857,18.84144368,37.83278734,0.375490225,0.109943159,42.9,41.84285714,21.45,15.01187285,22.0,25.57142857,21.42428529,25.27328203,0.667093674,0.313892883,10.0,20.71428571,5.0,3.499271061,3.0,3.0,3.0,3.0,0.693147181,0.410116318,0,2.142857143,0.0,4.44e-16,3.0
6,80.85525,57.35172125,62.69795196,37.92321073,1.562496881,1.401474822,184.5906,21.823275,57.67783733,53.71414289,861.8833333,999.616,826.7263462,936.3521509,1.750075752,1.0809988,764.1,655.41775,252.2352501,335.3475203,148.5,118.05875,135.3342279,94.30452047,1.720298823,1.393278944,171,54.5725,51.53882032,73.64351837,6575.904833,3229.7895,1691.186657,85.61451759,1.504146942,1.284386625,13532.571,1183.5105,4351.019263,4388.868101,56.28833333,90.32075,15.9585198,41.85055017,1.174819955,0.664422206,141.0,71.248125,57.80539491,62.82944986,8.577,4.7104375,4.4747127,1.31513562,1.444248778,1.261460995,20.278,1.9908125,6.755075993,5.599903565,109.55443,62.66454,18.07222815,1.194840755,1.102638494,0.690971491,399.97342,49.48671,136.9408947,128.5876497,2.666666667,2.15,2.40187391,2.084116744,1.667461933,1.392346698,4,0.9975,1.490711985,0.759934208,63.0
4,91.8081,56.12724556,67.68930284,36.49180372,1.173513988,1.331936245,134.3606,12.62225251,54.87713673,50.80276171,775.175,996.6135135,717.8208675,926.9509309,1.305824843,0.88031008,810.6,663.0073359,323.9929581,349.6017243,171.0,116.8030888,143.0792581,90.70861607,1.25048423,1.34908737,205,20.69498069,82.18576519,81.99889249,4956.10725,3186.326761,758.1898745,69.96835843,1.034016121,0.889896435,8958.571,2074.908761,3479.091647,3810.921515,82.3375,110.6158301,60.72149283,89.80329713,1.1640132,0.804482036,127.05,74.09073359,51.12571974,47.26636201,7.4555,5.045783784,3.750017511,1.316047312,1.108572523,1.00409023,12.878,2.915606178,4.625239534,5.457568006,107.756645,96.46214139,7.06248773,1.089351376,0.30814799,0.189614623,399.97342,92.64982772,168.8542438,166.8046208,2.25,2.077220077,2.213363839,2.063610725,1.368922361,1.203842792,1,0.841698842,0.433012702,0.266940325,95.0
7,85.59641429,51.47530423,69.56024247,34.81779584,1.790717091,1.457571562,124.90825,20.51064615,44.50883038,45.30695164,737.0285714,1003.793846,698.866115,937.1626163,1.888700284,0.949597248,810.6,700.3830769,263.1506831,343.1061515,180.0,114.4076923,161.6159843,89.58381139,1.865948447,1.507891063,205,37.68461538,65.51771843,79.35099206,4826.204143,2973.000231,1509.913777,66.00169701,1.665338058,0.968963837,8958.571,2066.922846,3181.85393,3693.670068,52.26,108.8364615,21.94921085,82.51476286,1.422734831,0.768607237,141.0,76.71923077,52.69846325,50.21230365,7.780285714,5.097846154,5.168015443,1.314738641,1.77604537,1.171163997,12.878,2.974615385,3.819516862,5.535812411,106.2895114,99.76046615,18.74119512,1.149182301,1.198471836,0.361626904,399.97342,92.29338,136.756185,166.495541,2.428571429,2.069230769,2.339861626,2.053212819,1.905420043,1.322467706,2,1.061538462,0.728431359,0.308556479,68.0
2,115.94469,83.443095,96.00914763,69.93461228,0.526502874,0.689593165,130.00638,7.030845,65.00319,56.29441387,705.1,677.6,702.9516413,676.0095133,0.690101845,0.59336681,110.0,297.55,55.0,47.63139721,185.5,178.25,184.9324201,177.8298171,0.690089013,0.593429552,29,78.25,14.5,12.55736835,11380.0,8745.0,10086.20345,7850.267707,0.581714509,0.691993419,10540.0,420.0,5270.0,4563.953878,42.3,47.2,41.14911907,46.30193412,0.666064329,0.459263015,19.6,30.95,9.8,8.487048957,29.4,26.1,28.64960733,25.5579938,0.667733317,0.644185777,13.2,8.1,6.6,5.715767665,44.0,37.5,42.03569911,36.09856884,0.648842205,0.664064127,26.0,9.0,13.0,11.25833025,5.0,5.0,5.0,5.0,0.693147181,0.562335145,0,2.5,0.0,0.0,2.8
