posres,multi,clinend,mech,sampsize,budget,impact,time,status
0,0,0,R01,402,3.159323,9.813,19.4825462,1
1,0,0,R01,179,1.974407,2.238,17.01848049,1
0,0,0,R01,670,4.508157,2.83,29.8973306,1
1,0,0,K01,56,0.761375,2.83,21.9137577,1
1,0,0,R01,574,3.475804,6.615,16.0,1
0,0,0,R01,870,2.645003,0.0,43.95893224,0
1,0,0,R01,216,1.658351,3.672,25.00205339,1
1,0,0,R01,190,1.424504,3.122,25.79055441,1
1,0,0,R01,170,1.011292,0.0,14.75154004,1
0,0,0,R01,60,3.880263,4.457,24.0164271,1
1,0,0,R01,600,2.523507,0.0,27.95893224,0
1,0,0,R01,337,2.612405,0.0,53.09240246,1
1,0,0,P01,159,1.290477,0.0,35.08829569,1
1,0,0,R01,355,3.011476,5.43,19.8110883,1
0,0,0,R01,305,0.882736,1.318,25.42915811,1
0,0,0,R01,305,0.882736,0.0,37.94661191,0
1,0,0,R01,250,1.363761,0.0,16.0,0
0,0,0,R01,200,2.28017,0.0,47.01437372,0
0,0,0,R01,61,3.557896,1.506,26.0862423,1
0,0,0,R01,252,2.960115,0.0,59.00616016,0
0,0,0,R01,33,0.25,5.632,17.7412731,1
1,0,0,R01,130,2.266291,4.844,18.98973306,1
0,0,0,R01,990,4.529343,0.0,24.0164271,0
1,0,0,R01,280,4.748245,0.0,11.72895277,1
0,0,0,R01,120,2.771899,0.0,11.00616016,0
1,0,0,R01,618,2.49585,4.284,18.98973306,1
1,0,0,R01,350,3.693318,0.0,10.02053388,0
1,0,0,R01,525,3.89671,4.9,13.8973306,1
0,0,0,R01,394,1.560963,4.11,40.04928131,1
0,0,0,U01,579,2.783147,0.0,4.008213552,0
1,0,0,R01,221,1.456284,5.967,19.51540041,1
1,0,0,R21,24,0.484714,5.799,5.979466119,1
1,0,0,Contract,242,2.361381,11.462,49.7412731,1
1,0,0,Contract,256,2.361381,11.462,49.90554415,1
0,0,0,R01,660,3.079765,0.0,35.58110883,1
0,0,0,R01,655,3.284871,0.0,89.98767967,0
0,0,0,R01,500,1.940301,0.0,68.00821355,0
0,0,0,R01,196,2.977829,3.368,30.91581109,1
0,0,0,R01,133,2.213278,12.755,11.8275154,1
1,0,0,R01,221,1.563877,3.565,11.00616016,1
0,0,1,R01,1653,6.857323,53.406,4.566735113,1
0,0,0,R01,594,2.784882,0.0,58.28336756,0
0,1,1,U01,1331,7.907451,30.011,8.147843943,1
0,1,1,U01,853,7.907451,7.492,22.99794661,1
0,0,0,K23,41,0.79536,0.0,6.997946612,0
1,0,0,R01,2319,2.985753,11.462,21.78234086,1
1,0,0,R01,973,5.557458,9.11,48.45995893,1
1,0,0,R01,32,0.966019,2.289,68.27104723,1
1,0,0,R01,62,2.505966,0.0,31.96714579,0
1,0,0,R01,158,2.160419,3.974,58.0862423,1
0,0,0,R01,248,2.016397,3.873,24.57494867,1
0,0,0,R01,500,1.890413,0.0,18.98973306,0
0,0,1,R01,605,4.243261,0.0,13.9301848,0
1,0,0,R01,1257,3.477152,0.0,6.012320329,0
0,0,0,P01,58,0.754531,14.156,27.23613963,1
1,0,0,R01,492,2.057492,9.813,47.86858316,1
0,1,1,U01,9933,11.135179,53.298,13.04312115,1
0,1,1,U01,8718,11.135179,53.298,13.04312115,1
0,0,0,R01,392,2.771647,0.0,40.96919918,0
0,0,0,P01,44,0.905437,0.0,11.99178645,0
1,0,0,P01,44,1.358157,0.0,11.99178645,0
1,0,0,R01,360,3.406196,0.0,8.016427105,0
1,0,0,P50,35,1.243022,0.0,21.02669405,0
0,0,0,P50,150,3.193432,0.0,4.008213552,0
0,0,0,R01,1004,3.245225,0.0,22.99794661,0
1,0,0,K23,200,0.774032,1.66,23.12936345,1
0,0,0,R01,2115,1.934249,0.0,34.00410678,0
0,0,1,R01,266,1.996759,0.0,14.98151951,0
0,0,0,R42,259,0.930637,0.0,24.0164271,0
0,0,0,U01,900,2.898552,0.0,33.01848049,0
0,1,1,U01,1586,2.026512,14.093,22.89938398,1
1,1,0,Contract,3472,15.490398,53.406,6.899383984,1
0,0,0,K23,24,0.568258,0.0,53.38809035,0
1,0,0,R01,150,3.700714,10.639,13.8973306,1
0,1,0,U01,308,8.26,53.298,12.09034908,1
0,0,0,P01,146,2.245685,0.0,41.49486653,0
