Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate
0,12.4,12.39999408813746,12.7,12.699887540586225,1.8,12.457847826970387,1.4,12.415415953247146
1,12.4049276607877,12.4049561823308,12.7006179755586,12.700641076544944,1.79288086002456,1.7642709115588926,1.40030107514678,1.3735771913969508
2,12.4094784508565,12.409489091573915,12.7012391479384,12.70124752794165,1.78606001174149,1.8021882942274576,1.40059211264642,1.4106937641156891
3,12.4136703362217,12.413681057533651,12.7018631462449,12.701871576152556,1.77952551277183,1.7954692100016483,1.40087344817312,1.4108582856103549
4,12.4175205589335,12.417531285125367,12.7024896149848,12.702498045539643,1.77326585502254,1.7892129798985723,1.40114540610822,1.4111361042699666
5,12.4210456614665,12.421056392367444,12.70311821351,12.703126644877301,1.76726995228803,1.783219675634407,1.40140829992449,1.4114039680821047
6,12.4242615105808,12.42427224572805,12.7037486154828,12.703757047662695,1.76152712794201,1.7774794120818307,1.40166243255719,1.411662615714315
7,12.4271833206459,12.427194059601204,12.7043805083587,12.70438894135155,1.75602710274206,1.7719819076335606,1.4019080967621,1.411912361201405
8,12.4298256764185,12.429836418765817,12.7050135928873,12.705022026693152,1.75075998276746,1.7667172693074102,1.40214557546122,1.4121535091794257
9,12.4322025552702,12.43221330061477,12.705647582632,12.70565601725061,1.74571624750875,1.761675977498272,1.40237514207649,1.4123863538697663
10,12.4343273488581,12.43433809682553,12.7062822035049,12.706290638935732,1.7408867381257,1.756848874249695,1.40259706085189,1.4126111794386742
11,12.4362128842387,12.436223634474095,12.7069171933192,12.706925629561454,1.73626264588845,1.7522271516946988,1.40281158716449,1.4128282603402258
12,12.4378714444216,12.437882196588724,12.7075523013568,12.707560738409413,1.73183550081497,1.7478023406930632,1.40301896782473,1.4130378616476749
13,12.4393147883638,12.43932554214427,12.7081872879512,12.70819572581286,1.72759716051638,1.7435662996765557,1.40321944136636,1.4132402393735923
14,12.4405541704063,12.440564925498798,12.7088219240851,12.708830362754266,1.72353979925996,1.739511203711925,1.40341323832638,1.413435640779146
15,12.4416003591551,12.441611115274636,12.7094559910016,12.709464430476498,1.71965589725844,1.735629533790242,1.40360058151538,1.4136243046729207
16,12.4424636558113,12.442474412688489,12.7100892798295,12.710097720108147,1.71593823019271,1.7319140663497261,1.40378168627857,1.413806461699582
17,12.4431539119536,12.443164669333965,12.7107215912221,12.710730032302305,1.71237985897376,1.7283578630378462,1.40395676074787,1.413982334618756
18,12.4436805467803,12.443691304423623,12.7113527350072,12.711361176886578,1.7089741197486,1.7249542607174622,1.40412600608537,1.414152138574452
19,12.4440525638166,12.444063321496266,12.711982529851,12.711990972526982,1.7057146141537,1.7216968617205206,1.40428961671842,1.4143160813552917
20,12.4442785670945,12.444289324596898,12.7126108029329,12.71261924640274,1.70259519981852,1.7185795243518809,1.40444778056667,1.4144743636458863
21,12.4443667768135,12.444377533937427,12.7132373896315,12.71324583389228,1.69960998112078,1.7155963536449161,1.40460067926143,1.4146271792697365
22,12.4443250444912,12.444335801047298,12.713862133222,12.71387057827065,1.69675330019426,1.7127416923696706,1.40474848835746,1.4147747154237864
23,12.444160867612,12.444171623422221,12.7144848845845,12.714493330417794,1.69401972818907,1.7100101122935094,1.40489137753756,1.4149171529050104
24,12.4438814037838,12.443892158680875,12.7151055019214,12.715113948535969,1.69140405678369,1.7073964056935638,1.40502951081018,1.4150546663292731
25,12.4434934844137,12.443504238240648,12.7157238504858,12.715732297878137,1.68890128994741,1.7048955771195888,1.40516304670033,1.415187424342757
26,12.4430036279114,12.44301438052105,12.7163398023188,12.716348250485273,1.6865066359512,1.7025028354052671,1.40529213843394,1.4153155898261223
27,12.4424180524323,12.442428803686827,12.7169532359962,12.716961684933056,1.68421549962459,1.7002135859255312,1.40541693411602,1.4154393200917694
28,12.4417426881707,12.441753437941195,12.7175640363839,12.717572486087263,1.68202347485545,1.6980234230967963,1.40553757690271,1.415558767074309
29,12.440983189214,12.44099393738004,12.7181720944022,12.718180544868094,1.67992633732957,1.6959281231169978,1.40565420516748,1.4156740775145167
30,12.4401449449694,12.440155691418651,12.7187773067978,12.71878575802214,1.67792003750606,1.6939236369414519,1.40576695266177,1.415785393137082
31,12.4392330911741,12.439243835801927,12.7193795759245,12.719388027903106,1.67600069382473,1.6920060834906978,1.40587594867011,1.4158928508222073
32,12.4382525205004,12.438263263209501,12.7199788095308,12.719987262259405,1.67416458614103,1.6901717430858996,1.40598131815997,1.4159965827713228
33,12.4372078927672,12.43721863346725,12.7205749205556,12.720583374029845,1.67240814938402,1.6884170511072767,1.40608318192663,1.4160967166672322
