Time_Step,Original_Tank1_Reading,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,ParticleFilter_Tank4_Estimate
0,12.4,12.424184471046413,12.7,12.796181176226996,1.8,1.7753280685375212,1.4,1.3545007792526462
1,12.4049276607877,12.424526218463237,12.7006179755586,12.795854007861584,1.79288086002456,1.7747018303541888,1.40030107514678,1.3546803287840028
2,12.4094784508565,12.424864781344686,12.7012391479384,12.795527808994496,1.78606001174149,1.7740782321629576,1.40059211264642,1.3548592696635682
3,12.4136703362217,12.425200175438773,12.7018631462449,12.795202576457642,1.77952551277183,1.7734572632974692,1.40087344817312,1.355037603994731
4,12.4175205589335,12.42553241642884,12.7024896149848,12.794878307093931,1.77326585502254,1.7728389131307243,1.40114540610822,1.3552153338733308
5,12.4210456614665,12.425861519933807,12.70311821351,12.794554997757231,1.76726995228803,1.7722231710749692,1.40140829992449,1.3553924613876944
6,12.4242615105808,12.426187501508362,12.7037486154828,12.794232645312322,1.76152712794201,1.77161002658158,1.40166243255719,1.355568988618657
7,12.4271833206459,12.4265103766432,12.7043805083587,12.793911246634863,1.75602710274206,1.7709994691409447,1.4019080967621,1.3557449176395964
8,12.4298256764185,12.42683016076526,12.7050135928873,12.793590798611364,1.75075998276746,1.7703914882823537,1.40214557546122,1.3559202505164607
9,12.4322025552702,12.42714686923789,12.705647582632,12.79327129813911,1.74571624750875,1.7697860735738764,1.40237514207649,1.3560949893077943
10,12.4343273488581,12.42746051736113,12.7062822035049,12.792952742126158,1.7408867381257,1.7691832146222526,1.40259706085189,1.356269136064769
11,12.4362128842387,12.427771120371894,12.7069171933192,12.792635127491277,1.73626264588845,1.768582901072774,1.40281158716449,1.356442692831211
12,12.4378714444216,12.428078693444206,12.7075523013568,12.792318451163915,1.73183550081497,1.7679851226091705,1.40301896782473,1.3566156616436291
13,12.4393147883638,12.428383251689393,12.7081872879512,12.792002710084155,1.72759716051638,1.7673898689534955,1.40321944136636,1.3567880445312435
14,12.4405541704063,12.428684810156337,12.7088219240851,12.791687901202677,1.72353979925996,1.7667971298660095,1.40341323832638,1.3569598435160117
15,12.4416003591551,12.428983383831666,12.7094559910016,12.791374021480728,1.71965589725844,1.7662068951450678,1.40360058151538,1.3571310606126594
16,12.4424636558113,12.429278987639979,12.7100892798295,12.791061067890066,1.71593823019271,1.7656191546270048,1.40378168627857,1.3573016978287054
17,12.4431539119536,12.429571636444066,12.7107215912221,12.790749037412942,1.71237985897376,1.76503389818602,1.40395676074787,1.3574717571644903
18,12.4436805467803,12.429861345045115,12.7113527350072,12.790437927042039,1.7089741197486,1.764451115734063,1.40412600608537,1.3576412406132037
19,12.4440525638166,12.430148128182935,12.711982529851,12.790127733780443,1.7057146141537,1.7638707972207204,1.40428961671842,1.357810150160911
20,12.4442785670945,12.430432000536172,12.7126108029329,12.78981845464162,1.70259519981852,1.7632929326331028,1.40444778056667,1.357978487786584
21,12.4443667768135,12.430712976722507,12.7132373896315,12.789510086649344,1.69960998112078,1.7627175119957275,1.40460067926143,1.3581462554621206
22,12.4443250444912,12.430991071298887,12.713862133222,12.7892026268377,1.69675330019426,1.7621445253704089,1.40474848835746,1.35831345515238
23,12.444160867612,12.431266298761734,12.7144848845845,12.788896072251,1.69401972818907,1.7615739628561426,1.40489137753756,1.358480088815204
24,12.4438814037838,12.43153867354715,12.7151055019214,12.788590419943791,1.69140405678369,1.761005814588992,1.40502951081018,1.3586461584014464
25,12.4434934844137,12.431808210031138,12.7157238504858,12.788285666980785,1.68890128994741,1.7604400707419767,1.40516304670033,1.3588116658549985
26,12.4430036279114,12.432074922529804,12.7163398023188,12.787981810436834,1.6865066359512,1.7598767215249578,1.40529213843394,1.3589766131128158
27,12.4424180524323,12.432338825299581,12.7169532359962,12.787678847396895,1.68421549962459,1.7593157571845253,1.40541693411602,1.3591410021049444
28,12.4417426881707,12.432599932537428,12.7175640363839,12.787376774955986,1.68202347485545,1.7587571680038865,1.40553757690271,1.3593048347545473
29,12.440983189214,12.432858258381042,12.7181720944022,12.787075590219153,1.67992633732957,1.758200944302751,1.40565420516748,1.3594681129779316
30,12.4401449449694,12.433113816909069,12.7187773067978,12.786775290301431,1.67792003750606,1.7576470764372196,1.40576695266177,1.3596308386845724
31,12.4392330911741,12.43336662214132,12.7193795759245,12.786475872327804,1.67600069382473,1.7570955547996732,1.40587594867011,1.35979301377714
32,12.4382525205004,12.433616688038962,12.7199788095308,12.786177333433189,1.67416458614103,1.7565463698186585,1.40598131815997,1.3599546401515257
33,12.4372078927672,12.43386402850474,12.7205749205556,12.785879670762366,1.67240814938402,1.7559995119587755,1.40608318192663,1.3601157196968685
34,12.4361036447688,12.434108657383184,12.7211678269306,12.785582881469965,1.6707279674327,1.7554549717205692,1.40618165673305,1.3602762542955782
35,12.4349439997328,12.434350588460813,12.7217574513901,12.785286962720432,1.66912076720572,1.7549127396404143,1.40627685544506,1.360436245823364
36,12.4337329764179,12.43458983546633,12.7223437212868,12.784991911687971,1.6675834129595,1.7543728062904034,1.40636888716198,1.3605956961492567
37,12.4324743978627,12.434826412070844,12.7229265684149,12.78469772555653,1.66611290078954,1.753835162278239,1.40645785734277,1.360754607135636
38,12.4311718997962,12.435060331888078,12.7235059288386,12.784404401519765,1.66470635332988,1.7532997982471197,1.40654386792804,1.3609129806382572
39,12.4298289387218,12.43529160847455,12.7240817427272,12.784111936780981,1.66336101464528,1.7527667048756292,1.40662701745779,1.361070818506271
