Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate,ParticleFilter_Tank4_Estimate
0,12.4,23.894576960632758,0.986791802056438,12.7,23.954857135226028,1.0255317461545932,1.8,-19.619429437954405,0.6074575538051115,1.4,-19.843963233040164,0.47053886998386735
1,12.4049276607877,11.98777796297129,1.1315100546454133,12.7006179755586,12.358714481012615,1.1697273672544937,1.79288086002456,2.4592944802195884,0.6211246058555706,1.40030107514678,2.336323158551477,0.4370306287205628
2,12.4094784508565,12.491901778895391,1.3096412418454297,12.7012391479384,12.766954991031493,1.3797604979125708,1.78606001174149,1.579252608848125,0.6145469416575182,1.40059211264642,1.5937730186666554,0.4301403635977612
3,12.4136703362217,12.47352233638092,1.450723094389093,12.7018631462449,12.752903533412121,1.666132438779424,1.77952551277183,1.6196591629769674,0.6126462017924319,1.40087344817312,1.6205066280199747,0.3615873992244394
4,12.4175205589335,12.478364974026979,1.5664786603882894,12.7024896149848,12.754053453331876,1.8844685305242306,1.77326585502254,1.618324852855257,0.6157229394116582,1.40114540610822,1.6196281557449403,0.30856353421130933
5,12.4210456614665,12.481823975915619,1.6823262834656252,12.70311821351,12.754661087593007,2.081277734837332,1.76726995228803,1.6188290227892312,0.6922665952092496,1.40140829992449,1.6197385736784922,0.31113491324468184
6,12.4242615105808,12.48502319640873,1.8128675116382127,12.7037486154828,12.755290012938206,2.345608204300593,1.76152712794201,1.619211446124326,0.6211502945995075,1.40166243255719,1.6198138088020033,0.3659730765960808
7,12.4271833206459,12.48792786461306,2.0571351070415065,12.7043805083587,12.755919724912486,2.480984093650071,1.75602710274206,1.6195623235464136,0.6536399206132234,1.4019080967621,1.6198904912410954,0.33706759620574833
8,12.4298256764185,12.490554732152004,2.416756830525955,12.7050135928873,12.756550648400445,2.7737402674019136,1.75075998276746,1.619879429206426,0.3903490999422073,1.40214557546122,1.6199672717682345,0.46243728772778575
9,12.4322025552702,12.492917597982089,2.548948672557468,12.705647582632,12.757182472099807,2.9441027338957197,1.74571624750875,1.620164623434963,0.4266501832546307,1.40237514207649,1.6200441627045108,0.476642760408441
